400 Ohm Carbon Resistor (extended low T range)

T(K)	R(ohms)
290	375.1
250	375.3
225	390.0
200	391.5
175	406.7
150	421.9
125	444.2
100	467.7
85.0	478.1
77.5	489.0
70.0	507.6
50.0	572.5
40.0	623.8
30.0	711.4
20.0	913.0
10.0	1554.6
5.0	3859
4.20	5360
3.4	8140
2.6	15300
1.8	45600
